Channel,Energy (keV),CTS,CR,Net CR,Error
7579,2095.5692,34,0.188888889,0.188333333,0.032395368
7580,2095.8457,36,0.2,0.2,0.033333333
7581,2096.1222,41,0.227777778,0.227777778,0.035572912
7582,2096.3987,26,0.144444444,0.144305556,0.028328227
7583,2096.6752,35,0.194444444,0.194444444,0.03286711
7584,2096.9517,32,0.177777778,0.177638889,0.031427275
7585,2097.2282,28,0.155555556,0.155555556,0.029397237
7586,2097.5047,38,0.211111111,0.211111111,0.034246744
7587,2097.7812,26,0.144444444,0.144166667,0.028328567
7588,2098.0577,38,0.211111111,0.210833333,0.034247308
7589,2098.3342,39,0.216666667,0.216666667,0.034694433
7590,2098.6107,34,0.188888889,0.18875,0.032394475
7591,2098.8872,37,0.205555556,0.205416667,0.033793411
7592,2099.1637,37,0.205555556,0.205555556,0.033793125
7593,2099.4402,42,0.233333333,0.233194444,0.036004383
7594,2099.7167,49,0.272222222,0.272083333,0.038889137
7595,2099.9932,32,0.177777778,0.177777778,0.031426968
7596,2100.2697,35,0.194444444,0.194305556,0.032867403
7597,2100.5462,46,0.255555556,0.255277778,0.037680123
7598,2100.8227,53,0.294444444,0.294166667,0.040445532
7599,2101.0992,22,0.122222222,0.122083333,0.026058235
7600,2101.3757,43,0.238888889,0.238888889,0.036430214
7601,2101.6522,46,0.255555556,0.255555556,0.037679611
7602,2101.9287,40,0.222222222,0.222083333,0.035136693
7603,2102.2052,58,0.322222222,0.321944444,0.042310307
7604,2102.4817,32,0.177777778,0.177222222,0.031428196
7605,2102.7582,40,0.222222222,0.221666667,0.035137516
7606,2103.0347,44,0.244444444,0.244305556,0.036851648
7607,2103.3112,47,0.261111111,0.260694444,0.03808773
7608,2103.5877,63,0.35,0.349722222,0.044096293
7609,2103.8642,63,0.35,0.349722222,0.044096293
7610,2104.1407,52,0.288888889,0.28875,0.040061922
7611,2104.4172,64,0.355555556,0.355555556,0.044444444
7612,2104.6937,67,0.372222222,0.371805556,0.045474818
7613,2104.9702,75,0.416666667,0.416527778,0.048112723
7614,2105.2467,73,0.405555556,0.405277778,0.047467094
7615,2105.5232,88,0.488888889,0.488194444,0.052116656
7616,2105.7997,111,0.616666667,0.616388889,0.058531739
7617,2106.0762,102,0.566666667,0.566527778,0.056108533
7618,2106.3527,146,0.811111111,0.810833333,0.067128321
7619,2106.6292,132,0.733333333,0.733055556,0.063828776
7620,2106.9057,155,0.861111111,0.861111111,0.069166109
7621,2107.1822,167,0.927777778,0.927777778,0.0717936
7622,2107.4587,202,1.122222222,1.122083333,0.078959402
7623,2107.7352,237,1.316666667,1.316388889,0.085526916
7624,2108.0117,293,1.627777778,1.6275,0.095095996
7625,2108.2882,263,1.461111111,1.461111111,0.090095971
7626,2108.5647,337,1.872222222,1.872083333,0.101986538
7627,2108.8412,410,2.277777778,2.2775,0.112491598
7628,2109.1177,459,2.55,2.55,0.119023807
7629,2109.3942,460,2.555555556,2.555555556,0.119153392
7630,2109.6707,548,3.044444444,3.044166667,0.13005237
7631,2109.9472,663,3.683333333,3.683333333,0.143048813
7632,2110.2237,682,3.788888889,3.788472222,0.145084253
7633,2110.5002,779,4.327777778,4.327777778,0.15505873
7634,2110.7767,861,4.783333333,4.783194444,0.163015623
7635,2111.0532,996,5.533333333,5.533333333,0.175330376
7636,2111.3297,1145,6.361111111,6.361111111,0.187988048
7637,2111.6062,1267,7.038888889,7.038611111,0.197749783
7638,2111.8827,1408,7.822222222,7.822222222,0.208462923
7639,2112.1592,1585,8.805555556,8.805416667,0.221178146
7640,2112.4357,1617,8.983333333,8.983194444,0.223399702
7641,2112.7122,1620,9,8.999861111,0.223606841
7642,2112.9887,1718,9.544444444,9.544444444,0.230270909
7643,2113.2652,1697,9.427777778,9.427638889,0.228859264
7644,2113.5417,1638,9.1,9.1,0.224845626
7645,2113.8182,1518,8.433333333,8.433194444,0.216452931
7646,2114.0947,1322,7.344444444,7.344305556,0.201996258
7647,2114.3712,1230,6.833333333,6.832916667,0.194841014
7648,2114.6477,1036,5.755555556,5.755277778,0.178816518
7649,2114.9242,824,4.577777778,4.577638889,0.159474506
7650,2115.2007,648,3.6,3.599861111,0.141421424
7651,2115.4772,553,3.072222222,3.072222222,0.130644178
7652,2115.7537,377,2.094444444,2.094305556,0.107869466
7653,2116.0302,304,1.688888889,1.688472222,0.09686472
7654,2116.3067,225,1.25,1.249722222,0.083333565
7655,2116.5832,142,0.788888889,0.78875,0.066202231
7656,2116.8597,129,0.716666667,0.716527778,0.063099134
7657,2117.1362,97,0.538888889,0.538611111,0.054716229
7658,2117.4127,80,0.444444444,0.444305556,0.049690594
7659,2117.6892,68,0.377777778,0.377361111,0.045812916
7660,2117.9657,58,0.322222222,0.322083333,0.042310079
7661,2118.2422,59,0.327777778,0.327222222,0.042673936
7662,2118.5187,59,0.327777778,0.3275,0.042673484
7663,2118.7952,51,0.283333333,0.283055556,0.039675089
7664,2119.0717,44,0.244444444,0.244305556,0.036851648
7665,2119.3482,49,0.272222222,0.271944444,0.038889385
7666,2119.6247,57,0.316666667,0.316388889,0.041943985
7667,2119.9012,51,0.283333333,0.283194444,0.039674845
7668,2120.1777,55,0.305555556,0.305277778,0.041201571
7669,2120.4542,29,0.161111111,0.161111111,0.029917582
7670,2120.7307,42,0.233333333,0.233055556,0.036004651
7671,2121.0072,48,0.266666667,0.266527778,0.038490269
7672,2121.2837,52,0.288888889,0.28875,0.040061922
7673,2121.5602,48,0.266666667,0.266527778,0.038490269
7674,2121.8367,42,0.233333333,0.233333333,0.036004115
7675,2122.1132,42,0.233333333,0.233194444,0.036004383
7676,2122.3897,39,0.216666667,0.216388889,0.034694989
7677,2122.6662,36,0.2,0.199861111,0.033333623
7678,2122.9427,58,0.322222222,0.322222222,0.042309851
7679,2123.2192,52,0.288888889,0.28875,0.040061922
7680,2123.4957,46,0.255555556,0.255416667,0.037679867
7681,2123.7722,34,0.188888889,0.18875,0.032394475
7682,2124.0487,52,0.288888889,0.288472222,0.040062403
7683,2124.3252,47,0.261111111,0.261111111,0.03808697
7684,2124.6017,36,0.2,0.199722222,0.033333912
7685,2124.8782,43,0.238888889,0.238611111,0.036430744
7686,2125.1547,45,0.25,0.25,0.0372678
7687,2125.4312,45,0.25,0.25,0.0372678
7688,2125.7077,20,0.111111111,0.111111111,0.0248452
7689,2125.9842,36,0.2,0.199583333,0.033334201
